278	S	0.2478	0.1075	0.0321	0.069	0.0546	-0.0036
279	D	0.5813	-0.402	-0.0336	-0.1828	0.1428	-0.0334
288	S	0.1725	0.4063	-0.1102	0.012	-0.0154	0.0389
289	A	1.1054	-1.3971	0.1219	0.6174	-0.0312	0.0219
295	Sw	0.2956	0.0334	-0.0063	0.11	0.0651	-0.0204
308	T	0.3315	0.0068	-0.2359	-0.1396	-0.0283	0.0023
322	D	0.3993	-0.3354	-0.0483	-0.1523	0.0612	-0.0037
345	Ch	0.1237	-0.6875	0.0212	-0.1692	0.0535	-0.0039
346	S	0.1792	-0.0609	0.053	0.0564	0.0262	-0.0017
352	Sw	0.2977	-0.0111	-0.0043	0.183	-0.0118	-0.0101
354	A	0.6621	-0.4482	0.0092	0.3214	0.0137	-0.0414
371	S	0.1089	0.4383	-0.0667	-0.0209	-0.0267	0.0267
378	S	0.1706	0.33	-0.0983	-0.0061	0.0053	0.0375
387	L	0.1231	0.4882	-0.3222	-0.0083	-0.042	-0.0427
389	S	0.121	0.0715	-0.0249	-0.0273	0.0061	0.0173
402	L	0.0546	0.1434	-0.2141	-0.0496	0.0111	-0.0295
403	S	0.1831	-0.0116	-0.0138	0.083	0.0229	-0.0044
433	Sw	0.2812	0.061	-0.0068	0.1849	-0.0187	-0.0096
444	C	0.121	-0.6046	0.0028	-0.1914	-0.0756	-0.0063
446	A	0.7378	-0.6138	0.0261	0.6204	0.0169	-0.0621
453	Sw	0.257	-0.0429	-0.0271	0.1598	-0.0366	0.0099
456	S	0.2405	0.1003	-0.0138	0.1267	0.0167	-0.0099
460	L	-0.0053	0.438	-0.2688	-0.0788	0.0034	-0.0069
485	S	0.1686	0.1426	0.0209	0.0019	0.0524	0.0063
512	Sqw	0.2909	-0.1463	0.0885	0.2035	0.0184	0.0066
532	S	0.1817	0.0075	-0.0377	0.03	-0.0113	-0.0184
570	D	0.429	0.0985	-0.2112	-0.134	0.0822	0.0411
596	T	0.294	-0.0028	-0.2044	-0.1827	0.0035	-0.0191
599	L	0.2069	0.2302	-0.2108	-0.0509	0.0654	-0.0083
606	L	0.1779	0.23	-0.2453	-0.0687	0.0153	0.0191
625	Sw	0.4369	0.3463	-0.1058	0.1985	0.0674	0.0029
631	S	0.1738	0.148	-0.006	0.031	-0.0237	0.0417
661	K	0.0933	-0.0817	-0.1652	-0.0155	-0.0409	-0.0341
670	S	0.0767	0.1938	0.0228	-0.0008	0.0247	0.0164
673	L	0.108	0.3756	-0.2913	-0.0964	-0.0614	0.0097
675	Sw	0.2712	-0.0742	-0.0109	0.0446	0.0219	0.0061
679	L	0.1403	0.2684	-0.2625	-0.0327	0.0432	0.017
