MB-CMP-001-P2	Tsarev	CMP	Other-Met	Rock	nan	Ordinary Chondrite	L5	nan	0.0	63.0	Yes	Particulate Ground Sorted	Volgograd, USSR 	Relab (DTB) 	0.0	Sample has slab,powder and magnetic separate spectra Chip in Relab D1-C3.
MT-HYM-077	Aldsworth	HYM	Other-Met	Rock	nan	Ordinary Chondrite	LL5	nan	0.0	150.0	Yes	Particulate Ground Sorted	Gloucestershire, England	University of Tennessee	0.0	From the Natural History Museum in London
MT-HYM-083	Benares (a)	HYM	Other-Met	Rock	nan	Ordinary Chondrite	LL4	nan	0.0	150.0	Yes	Particulate Ground Sorted	Uttar Pradesh, India	University of Tennessee	0.0	From the Natural History Museum in London
MT-HYM-085	Olivenza	HYM	Other-Met	Rock	nan	Ordinary Chondrite	LL5	nan	0.0	150.0	Yes	Particulate Ground Sorted	Spain	University of Tennessee	684.0	From Smithsonian
OC-TXH-001-A	Cherokee Springs (LL6) chip	TXH	Other-Met	Rock	nan	Ordinary Chondrite	LL6	nan	0.0	0.0	nan	Chip	Spartenburg County, South Caroline, USA	Smithsonian National Museum of Natural History	0.0	USNM 1319
OC-TXH-001-B	Cherokee Springs (LL6) 125-500 um	TXH	Other-Met	Rock	nan	Ordinary Chondrite	LL6	nan	125.0	500.0	Yes	Particulate Ground Sorted	Spartenburg County, South Caroline, USA	Smithsonian National Museum of Natural History	0.0	USNM 1319
OC-TXH-001-C	Cherokee Springs (LL6) <125 um	TXH	Other-Met	Rock	nan	Ordinary Chondrite	LL6	nan	0.0	125.0	Yes	Particulate Ground Sorted	Spartenburg County, South Caroline, USA	Smithsonian National Museum of Natural History	0.0	USNM 1319
OC-TXH-009-B	Olivenza (LL5) 125-500 um	TXH	Other-Met	Rock	nan	Ordinary Chondrite	LL5	nan	125.0	500.0	Yes	Particulate Ground Sorted	Badajoz, Spain	Field Museum	0.0	ME 2095
OC-TXH-009-C	Olivenza (LL5) <125 um	TXH	Other-Met	Rock	nan	Ordinary Chondrite	LL5	nan	0.0	125.0	Yes	Particulate Ground Sorted	Badajoz, Spain	Field Museum	0.0	ME 2095
RS-CMP-047-P1	Tsarev powder	CMP	Other-Met	Rock	nan	Ordinary Chondrite	L5	nan	0.0	250.0	Yes	Particulate	Volgograd, USSR 	University of Arizona	0.0	Also in Relab C1-H4.Sample #15384,1a/T Dark Lithology Slab plus powders
RS-CMP-047-P10	Tsarev 45-63 um	CMP	Other-Met	Rock	nan	Ordinary Chondrite	L5	nan	45.0	63.0	Yes	Particulate	Volgograd, USSR 	University of Arizona	0.0	Also in Relab C1-H4.Sample #15384,1a/T Dark Lithology Slab plus powders
RS-CMP-047-P4	Tsarev <63 um	CMP	Other-Met	Rock	nan	Ordinary Chondrite	L5	nan	0.0	63.0	Yes	Particulate	Volgograd, USSR 	University of Arizona	0.0	Also in Relab C1-H4.Sample #15384,1a/T Dark Lithology Slab plus powders
RS-CMP-047-P8	Tsarev <25 um	CMP	Other-Met	Rock	nan	Ordinary Chondrite	L5	nan	0.0	25.0	Yes	Particulate	Volgograd, USSR 	University of Arizona	0.0	Also in Relab C1-H4.Sample #15384,1a/T Dark Lithology Slab plus powders
RS-CMP-047-P9	Tsarev 25-45 um	CMP	Other-Met	Rock	nan	Ordinary Chondrite	L5	nan	25.0	45.0	Yes	Particulate	Volgograd, USSR 	University of Arizona	0.0	Also in Relab C1-H4.Sample #15384,1a/T Dark Lithology Slab plus powders
RS-CMP-062-P1	Kunashak powder #1	CMP	Other-Met	Rock	nan	Ordinary Chondrite	L6	nan	0.0	0.0	Yes	Particulate	USSR	Relab (DTB) 	0.0	No I723   
TB-TJM-067	Bandong	TJM	Other-Met	Rock	nan	Ordinary Chondrite	LL6	nan	0.0	150.0	Yes	Particulate Ground	Java, Indonesia	Smithsonian Inst 	0.0	Ordinary chondrite powder studied by Jarosevich, Meteoritics, 323-337, 1990.  Almost all metal removed.  USNM 7073
TB-TJM-075	Greenwell Springs	TJM	Other-Met	Rock	nan	Ordinary Chondrite	LL4	nan	0.0	150.0	Yes	Particulate Ground	nan	Smithsonian Inst 	0.0	Ordinary chondrite powder studied by Jarosevich, Meteoritics, 323-337, 1990.  Almost all metal removed.  USNM 7073
TB-TJM-077	Karatu	TJM	Other-Met	Rock	nan	Ordinary Chondrite	LL6	nan	0.0	75.0	Yes	Particulate Ground	Arusha, Tanzania	Smithsonian Inst 	0.0	Ordinary chondrite powder studied by Jarosevich, Meteoritics, 323-337, 1990.  Almost all metal removed.  USNM 7073
TB-TJM-090	Cherokee Springs	TJM	Other-Met	Rock	nan	Ordinary Chondrite	LL6	nan	0.0	150.0	Yes	Particulate Ground	Spartenburg Co., SC	Smithsonian Inst 	0.0	Ordinary chondrite powder studied by Jarosevich, Meteoritics, 323-337, 1990.  Almost all metal removed.  USNM 7073
TB-TJM-102	Bald Mountain	TJM	Other-Met	Rock	nan	Ordinary Chondrite	L4	nan	0.0	150.0	Yes	Particulate Ground	Yancy County, North Carolina, USA	Smithsonian Inst 	0.0	Ordinary chondrite powder studied by Jarosevich, Meteoritics, 323-337, 1990.  Almost all metal removed.  USNM 7073
